row,id,destination,action
1,statement-thm-headline-rigidity-phase,retire-split,"Do not copy the compound headline; regenerate separate Paper I and Paper II headlines"
2,thm-headline-rigidity-phase-clause-1,paper-1,"Adopt as the Paper I rigidity headline"
3,thm-headline-rigidity-phase-clause-2,paper-2,"Adopt in the rank-three conic-phase theorem"
4,thm-headline-rigidity-phase-clause-3,paper-2,"Adopt in the rank-three conic-phase theorem"
5,thm-headline-rigidity-phase-clause-4,paper-2,"Adopt in the arithmetic-gluing block"
6,statement-thm-headline-factorization,paper-2,"Adopt after splitting its clauses into locatable proof blocks"
7,thm-headline-factorization-clause-1,paper-2,"Adopt in conic quotient and rank calculations"
8,thm-headline-factorization-clause-2,paper-2,"Adopt in balanced sheets"
9,thm-headline-factorization-clause-3,paper-2,"Adopt in cubic orientation"
10,thm-headline-factorization-clause-4,paper-2,"Adopt in six-profile reconstruction"
11,statement-prop-a5-point-orbits,paper-1,"Adopt"
12,statement-prop-deep-holes-conic,paper-1,"Adopt"
13,statement-cor-named-variety,paper-1,"Adopt"
14,statement-prop-deep-hole-orbit,paper-1,"Adopt"
15,statement-prop-decoding-oracle,paper-1,"Adopt with the complete fifteen-class census"
16,statement-lem-six-arc-line-bound,paper-1,"Adopt"
17,statement-thm-rigidity,paper-1,"Adopt as the principal theorem"
18,statement-prop-low-degree-rigidity,paper-1,"Adopt with exact-computation boundary"
19,statement-corollary-aec192b0d5224cce,paper-1,"Adopt and add a stable label"
20,statement-thm-gap,paper-1,"Adopt with separate |U(A)|<=15 and |U(A)|=12 clauses"
21,statement-prop-brianchon-support,paper-1,"Adopt"
22,statement-cor-decoder-brianchon,paper-1,"Adopt"
23,statement-prop-chirality,paper-1,"Adopt under support-bipartition terminology"
24,statement-lem-chord-defect,paper-1,"Adopt"
25,statement-thm-why11,paper-1,"Adopt"
26,statement-prop-clebsch-family-uncovered,paper-1,"Adopt"
27,statement-prop-h3-arrangement,paper-2,"Paper II owns the theorem and proof; Paper I may retain only a non-load-bearing contextual sentence"
28,statement-prop-lattice-good,paper-2,"Adopt"
29,statement-thm-small-k-conic-filling,paper-1,"Adopt"
30,statement-prop-general-matching-quotient,paper-2,"Adopt as the reusable construction"
31,statement-prop-modular-depth-plane,paper-2,"Adopt"
32,statement-thm-headline-gluing,paper-2,"Adopt after splitting its clauses into locatable proof blocks"
33,thm-headline-gluing-clause-1,paper-2,"Adopt"
34,thm-headline-gluing-clause-2,paper-2,"Adopt"
35,thm-headline-gluing-clause-3,paper-2,"Adopt"
36,statement-lem-rank-three-splitting,paper-2,"Adopt"
37,statement-prop-mod40-reciprocity,paper-3,"Adopt only if the Paper III standalone-value gate passes"
38,statement-thm-four-sheet-holonomy,paper-3,"Adopt only if the Paper III standalone-value gate passes"
39,thm-four-sheet-holonomy-clause-1,paper-3,"Adopt only if the Paper III standalone-value gate passes"
40,thm-four-sheet-holonomy-clause-2,paper-3,"Adopt only if the Paper III standalone-value gate passes"
41,thm-four-sheet-holonomy-clause-3,paper-3,"Adopt only if the Paper III standalone-value gate passes"
42,statement-lem-sign-torsor-no-section,paper-3,"Adopt only if the Paper III standalone-value gate passes"
43,statement-thm-torsor-rosetta-close,paper-3,"Adopt only if the Paper III standalone-value gate passes"
44,thm-torsor-rosetta-close-clause-1,paper-3,"Adopt only if the Paper III standalone-value gate passes"
45,thm-torsor-rosetta-close-clause-2,paper-3,"Adopt only if the Paper III standalone-value gate passes"
46,thm-torsor-rosetta-close-clause-3,paper-3,"Adopt only if the Paper III standalone-value gate passes"
47,thm-torsor-rosetta-close-clause-4,paper-3,"Adopt only if the Paper III standalone-value gate passes"
48,thm-torsor-rosetta-close-clause-5,paper-3,"Adopt only if the Paper III standalone-value gate passes"
49,survival-unmarked-child,paper-3,"Adopt only if the Paper III standalone-value gate passes"
50,survival-balanced-moments,paper-2,"Adopt as a consequence of balanced-sheet recovery"
51,survival-signed-cubic,paper-2,"Adopt as a consequence of cubic orientation"
52,survival-depth-row,paper-2,"Adopt as a consequence of profile reconstruction"
53,survival-design-shadow,paper-3,"Adopt only if the Paper III standalone-value gate passes"
54,survival-mod40,paper-3,"Adopt only if the Paper III standalone-value gate passes"
55,survival-theta,paper-3,"Adopt only if the Paper III standalone-value gate passes"
56,survival-quantum,paper-3,"Adopt only if the Paper III standalone-value gate passes"
57,survival-fourier,paper-3,"Adopt only if the Paper III standalone-value gate passes"
58,fifteen-class-census-table,paper-1,"Adopt as the complete census table"
